Entrez_Gene_Id	Tumor_Sample_Barcode
7157	TCGA-02-0058-01A-01W-0189-08
7157	TCGA-06-0197-01A-02W-0254-08
7157	TCGA-06-0150-01A-01W-0254-08
7157	TCGA-02-0048-01A-01W-0318-08
7157	TCGA-06-0190-01A-01W-0254-08
7157	TCGA-02-0026-01B-01W-0318-08
7157	TCGA-02-0074-01A-01W-0206-08
7157	TCGA-06-0644-01A-02W-0323-08
7157	TCGA-08-0351-01A-01W-0318-08
7157	TCGA-02-0055-01A-01W-0189-08
7157	TCGA-08-0359-01A-01W-0318-08
7157	TCGA-06-0159-01A-01W-0254-08
7157	TCGA-06-0237-01A-02W-0254-08
7157	TCGA-08-0245-01A-01W-0318-08
7157	TCGA-02-0089-01A-01W-0206-08
7157	TCGA-02-0037-01A-01W-0189-08
7157	TCGA-02-0011-01B-01W-0189-08
7157	TCGA-12-0619-01A-01W-0323-08
7157	TCGA-06-0184-01A-01W-0254-08
7157	TCGA-08-0360-01A-01W-0318-08
7157	TCGA-02-0075-01A-01W-0206-08
7157	TCGA-02-0024-01B-01W
7157	TCGA-02-0054-01A-01W
7157	TCGA-02-0024-01B-01W-0189-08
7157	TCGA-02-0054-01A-01W-0189-08
7157	TCGA-06-0188-01A-01W
7162	TCGA-02-0015-01A-01W-0318-08
7205	TCGA-02-0046-01A-01W-0189-08
7374	TCGA-02-0083-01A-01W
7391	TCGA-02-0014-01A-01W
7436	TCGA-02-0015-01A-01W-0318-08
7472	TCGA-02-0099-01A-01W
7639	TCGA-06-0195-01B-01W
7982	TCGA-02-0021-01A-01W-0189-08
7991	TCGA-06-0128-01A-01W
8527	TCGA-02-0114-01A-01W-0206-08
8639	TCGA-02-0014-01A-01W-0189-08
8639	TCGA-06-0209-01A-01W-0254-08
8751	TCGA-02-0023-01B-01W
8751	TCGA-02-0083-01A-01W
8797	TCGA-02-0083-01A-01W
8797	TCGA-02-0114-01A-01W
8797	TCGA-02-0028-01A-01W
8805	TCGA-06-0171-01A-02W
8826	TCGA-02-0083-01A-01W
8840	TCGA-02-0114-01A-01W
8872	TCGA-06-0141-01A-01W-0224-08
9064	TCGA-02-0028-01A-01W-0189-08
9173	TCGA-02-0007-01A-01W
9244	TCGA-06-0168-01A-01W-0254-08
9353	TCGA-06-0128-01A-01W-0224-08
9369	TCGA-02-0016-01A-01W-0318-08
9371	TCGA-02-0083-01A-01W
9480	TCGA-06-0171-01A-02W-0254-08
9518	TCGA-06-0165-01A-01W
9564	TCGA-06-0176-01A-02W
9564	TCGA-02-0099-01A-01W
9575	TCGA-06-0124-01A-01W
9575	TCGA-02-0028-01A-01W
9757	TCGA-02-0057-01A-01W-0189-08
9757	TCGA-02-0114-01A-01W-0206-08
9757	TCGA-02-0010-01A-01W-0189-08
9877	TCGA-02-0015-01A-01W
9903	TCGA-02-0010-01A-01W
9990	TCGA-02-0015-01A-01W
9990	TCGA-02-0015-01A-01W
10006	TCGA-02-0015-01A-01W
10106	TCGA-02-0015-01A-01W
10165	TCGA-02-0083-01A-01W-0206-08
10188	TCGA-02-0014-01A-01W-0189-08
10188	TCGA-02-0043-01A-01W-0189-08
10188	TCGA-06-0189-01A-01W-0254-08
10257	TCGA-02-0083-01A-01W-0206-08
10257	TCGA-02-0037-01A-01W-0189-08
10410	TCGA-06-0143-01A-01W-0224-08
